series_id,value,date,item
CUUR0000SETG01   ,45.3,1978-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,45.3,1978-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,45.3,1978-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,45.4,1978-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,45.1,1978-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,45.3,1979-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,45.7,1979-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,45.8,1979-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,46.0,1979-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,46.3,1979-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,46.4,1979-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,47.4,1979-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,49.0,1979-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,51.1,1979-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,52.7,1979-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,55.4,1979-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,58.6,1979-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,60.0,1980-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,61.0,1980-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,62.1,1980-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,63.1,1980-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,64.5,1980-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,65.8,1980-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,66.1,1980-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,69.2,1980-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,74.1,1980-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,75.2,1980-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,76.9,1980-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,78.2,1980-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,79.3,1981-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,79.8,1981-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,82.1,1981-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,83.3,1981-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,83.3,1981-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,86.2,1981-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,87.7,1981-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,88.7,1981-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,89.0,1981-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,88.9,1981-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,89.5,1981-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,89.5,1981-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,89.7,1982-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,90.6,1982-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,90.5,1982-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,91.4,1982-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,92.9,1982-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,94.6,1982-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,94.9,1982-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,95.0,1982-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,97.8,1982-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,98.8,1982-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,98.3,1982-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,97.7,1982-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,98.5,1983-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,96.9,1983-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,96.2,1983-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,99.7,1983-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,98.2,1983-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,99.2,1983-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,100.0,1983-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,100.5,1983-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,101.1,1983-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,101.9,1983-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,103.1,1983-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,102.4,1983-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,102.8,1984-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,102.6,1984-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,102.5,1984-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,102.7,1984-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,104.1,1984-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,105.6,1984-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,107.5,1984-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,108.5,1984-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,107.5,1984-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,108.3,1984-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,108.8,1984-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,109.0,1984-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,109.6,1985-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,109.6,1985-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,110.9,1985-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,111.4,1985-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,111.5,1985-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,111.8,1985-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,111.8,1985-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,111.9,1985-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,113.9,1985-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,115.6,1985-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,116.1,1985-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,115.9,1985-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,116.3,1986-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,115.8,1986-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,115.0,1986-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,115.4,1986-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,116.1,1986-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,116.8,1986-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,117.3,1986-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,117.0,1986-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,117.2,1986-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,117.3,1986-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,119.0,1986-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,122.0,1986-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,122.4,1987-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,122.7,1987-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,123.4,1987-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,122.9,1987-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,122.3,1987-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,121.4,1987-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,121.3,1987-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,123.1,1987-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,123.9,1987-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,122.6,1987-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,123.9,1987-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,123.9,1987-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,123.2,1988-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,121.5,1988-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,122.3,1988-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,123.9,1988-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,123.4,1988-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,124.0,1988-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,124.2,1988-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,124.2,1988-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,124.7,1988-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,125.0,1988-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,126.4,1988-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,128.0,1988-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,129.3,1989-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,130.1,1989-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,130.4,1989-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,130.6,1989-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,130.8,1989-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,131.6,1989-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,131.6,1989-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,131.7,1989-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,131.8,1989-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,132.8,1989-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,134.2,1989-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,134.8,1989-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,136.6,1990-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,140.0,1990-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,143.8,1990-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,145.6,1990-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,146.3,1990-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,146.8,1990-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,146.6,1990-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,146.8,1990-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,149.6,1990-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,153.6,1990-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,159.2,1990-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,165.4,1990-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,166.5,1991-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,167.4,1991-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,163.2,1991-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,153.1,1991-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,151.1,1991-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,152.0,1991-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,151.5,1991-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,152.8,1991-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,150.6,1991-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,147.6,1991-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,150.9,1991-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,155.4,1991-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,156.0,1992-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,154.7,1992-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,158.8,1992-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,160.7,1992-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,155.5,1992-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,145.4,1992-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,150.1,1992-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,147.8,1992-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,146.1,1992-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,157.6,1992-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,164.5,1992-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,165.7,1992-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,170.7,1993-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,174.4,1993-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,173.4,1993-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,172.1,1993-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,176.3,1993-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,174.7,1993-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,179.6,1993-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,179.8,1993-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,180.8,1993-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,180.8,1993-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,188.3,1993-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,193.8,1993-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,191.5,1994-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,191.8,1994-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,195.5,1994-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,192.3,1994-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,182.1,1994-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,182.3,1994-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,184.7,1994-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,187.4,1994-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,185.2,1994-09-01 00:00:00+00:00,Airline fares
